,word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,abandonment,,,,,0.0,1.0,0.0,1.0,1.0,0.0
2,abate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,abatement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,abba,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,abbot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,abbreviate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,abbreviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,abdomen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,abdominal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,abduction,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
11,aberrant,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,aberration,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,abeyance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,abhor,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
15,abhorrent,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
16,abide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,ability,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,abject,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,ablation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,ablaze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,abnormal,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,aboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,abode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,abolish,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,abolition,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,abominable,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
27,abomination,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
28,aboriginal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,abort,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,abortion,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
31,abortive,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
32,abound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,abovementioned,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,abrasion,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,abroad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,abrogate,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,abrupt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38,abruptly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,abscess,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
40,absence,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
41,absent,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
42,absentee,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
43,absenteeism,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,absinthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,absolute,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,absolution,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
47,absorbed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
48,absorbent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,absorbing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,absorption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,abstain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,abstention,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,abstinence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,abstract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,absurd,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
57,absurdity,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58,abundance,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
59,abundant,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
60,abuse,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
61,abutment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,aby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,abysmal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
64,abyss,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
65,academic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
66,academy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
67,accede,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,accelerate,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,accent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,accentuate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,accept,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,acceptable,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
74,acceptance,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
75,access,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,accessible,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
77,accession,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,accident,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
80,accidental,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
81,accidentally,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
82,accolade,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
83,accommodate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,accommodation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
85,accompaniment,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
86,accompany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,accompanying,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,accomplice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,accomplish,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
90,accomplished,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
91,accomplishment,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
92,accord,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
93,accordance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,accordion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,account,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
96,accountability,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
97,accountable,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
98,accountant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99,accounting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,accounts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101,accredited,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
102,accretion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,accrue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,accueil,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
105,accumulate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,accumulation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,accurate,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
109,accursed,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
110,accusation,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
111,accusative,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
112,accused,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
113,accuser,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
114,accusing,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
115,accustomed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,ace,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
117,acetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,ache,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
119,achieve,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
120,achievement,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
121,aching,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
122,acid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
123,acidity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,acknowledge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,acknowledged,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,acknowledgment,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
127,acme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,acoustic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,acoustics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,acquaint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,acquaintance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,acquainted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,acquiescence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,acquire,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
135,acquiring,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
136,acquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,acquisitions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,acreage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,acres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,acrobat,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
141,act,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,acting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,action,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
144,actionable,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
145,active,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
