,tweets,sentiment,subjectivity,type
41,"RT : Vicious cycle: ➡️you doubt women candidates➡️ you don't support them➡️ you share fears about ""electability""➡️ you do…",-1.0,1.0,
808, this is what a pathetic attempt to playgame plan. All the GOP candidates tried and… ,-1.0,1.0,
896, pathetic #Bloomberg cc: #Election2020 #Sanders2020 #Trump2020 …,-1.0,1.0,
709,"RT : Vicious cycle: ➡️you doubt women candidates➡️ you don't support them➡️ you share fears about ""electability""➡️ you do…",-1.0,1.0,
770,"RT : Vicious cycle: ➡️you doubt women candidates➡️ you don't support them➡️ you share fears about ""electability""➡️ you do…",-1.0,1.0,
1218,"RT : Vicious cycle: ➡️you doubt women candidates➡️ you don't support them➡️ you share fears about ""electability""➡️ you do…",-1.0,1.0,
1636, Russia commits a brutal cyberattack against the country of Georgia. Putin's Puppet DJT responds b…,-0.875,1.0,Negative
1487,Russia commits a brutal cyberattack against the country of Georgia. Putin's Puppet DJT res… ,-0.875,1.0,Negative
1492, Russia commits a brutal cyberattack against the country of Georgia. Putin's Puppet DJT responds b…,-0.875,1.0,Negative
1496, Russia commits a brutal cyberattack against the country of Georgia. Putin's Puppet DJT responds b…,-0.875,1.0,Negative
1559, Russia commits a brutal cyberattack against the country of Georgia. Putin's Puppet DJT responds b…,-0.875,1.0,Negative
1612, Russia commits a brutal cyberattack against the country of Georgia. Putin's Puppet DJT responds b…,-0.875,1.0,Negative
1783, Russia commits a brutal cyberattack against the country of Georgia. Putin's Puppet DJT responds b…,-0.875,1.0,Negative
136, Russia commits a brutal cyberattack against the country of Georgia. Putin's Puppet DJT responds b…,-0.875,1.0,Negative
558,#Election2020 #ElectoralCollege #ElectoralReformsForWomen #ElectoralReforms #WakeUpAmerica dems hate the Constitut… ,-0.8,0.9,Negative
816,How stupid do you think 🤔 we are? NOVEMBER is coming #Election2020 ,-0.7999999999999999,1.0,Negative
1336," Wait!Russian collusion, oh my. Wrong guy! This is not how it was scripted by the DNC! Gee, why would Russia want Bernie…",-0.78125,0.9,Negative
836," Wait!Russian collusion, oh my. Wrong guy! This is not how it was scripted by the DNC! Gee, why would Russia want Bernie…",-0.78125,0.9,Negative
1245," Wait!Russian collusion, oh my. Wrong guy! This is not how it was scripted by the DNC! Gee, why would Russia want Bernie…",-0.78125,0.9,Negative
1234," Wait!Russian collusion, oh my. Wrong guy! This is not how it was scripted by the DNC! Gee, why would Russia want Bernie…",-0.78125,0.9,Negative
1241," Wait!Russian collusion, oh my. Wrong guy! This is not how it was scripted by the DNC! Gee, why would Russia want Bernie…",-0.78125,0.9,Negative
1236," Wait!Russian collusion, oh my. Wrong guy! This is not how it was scripted by the DNC! Gee, why would Russia want Bernie…",-0.78125,0.9,Negative
1238," Wait!Russian collusion, oh my. Wrong guy! This is not how it was scripted by the DNC! Gee, why would Russia want Bernie…",-0.78125,0.9,Negative
1317,"Wait!Russian collusion, oh my. Wrong guy! This is not how it was scripted by the DNC! Gee, why would Russia want… ",-0.78125,0.9,Negative
1793," Wait!Russian collusion, oh my. Wrong guy! This is not how it was scripted by the DNC! Gee, why would Russia want Bernie…",-0.78125,0.9,Negative
1324," Wait!Russian collusion, oh my. Wrong guy! This is not how it was scripted by the DNC! Gee, why would Russia want Bernie…",-0.78125,0.9,Negative
2019," Wait!Russian collusion, oh my. Wrong guy! This is not how it was scripted by the DNC! Gee, why would Russia want Bernie…",-0.78125,0.9,Negative
1321," Wait!Russian collusion, oh my. Wrong guy! This is not how it was scripted by the DNC! Gee, why would Russia want Bernie…",-0.78125,0.9,Negative
1446," Wait!Russian collusion, oh my. Wrong guy! This is not how it was scripted by the DNC! Gee, why would Russia want Bernie…",-0.78125,0.9,Negative
2151," Wait!Russian collusion, oh my. Wrong guy! This is not how it was scripted by the DNC! Gee, why would Russia want Bernie…",-0.78125,0.9,Negative
1287," Wait!Russian collusion, oh my. Wrong guy! This is not how it was scripted by the DNC! Gee, why would Russia want Bernie…",-0.78125,0.9,Negative
