,0
0,14
1,20
2,8
3,17
4,23
5,9
6,5
7,22
8,32
9,14
10,24
11,23
12,26
13,21
14,20
15,12
16,24
17,16
18,8
19,21
20,14
21,18
22,23
23,21
24,18
25,21
26,16
27,11
28,21
29,21
30,17
31,26
32,17
33,11
34,2
35,0
36,24
37,22
38,20
39,20
40,22
41,24
42,21
43,21
44,24
45,18
46,16
47,20
48,13
49,26
50,24
51,32
52,20
53,20
54,8
55,14
56,20
57,23
58,24
59,25
60,21
61,28
62,20
63,20
64,25
65,20
66,23
67,25
68,15
69,24
70,20
71,27
72,24
73,14
74,22
75,21
76,15
77,19
78,14
79,29
80,15
81,21
82,28
83,23
84,16
85,23
86,17
87,24
88,16
89,23
90,24
91,18
92,5
93,18
94,20
95,16
96,20
97,24
98,16
99,25
100,28
101,28
102,10
103,4
104,23
105,28
106,24
107,21
108,14
109,20
110,23
111,18
112,19
113,21
114,22
115,24
116,24
117,24
118,24
119,24
120,7
121,20
122,24
123,16
124,11
125,22
126,27
127,23
128,16
129,17
130,24
131,18
132,12
133,12
134,24
135,5
136,17
137,21
138,17
139,22
140,28
141,25
142,16
143,24
144,28
145,23
146,21
147,21
148,23
149,22
150,21
151,15
152,8
153,8
154,26
155,2
156,17
157,11
158,28
159,19
160,19
161,21
162,18
163,21
164,21
165,20
166,24
167,23
168,21
169,21
170,21
171,19
172,25
173,15
174,15
175,15
176,18
177,18
178,8
179,22
180,17
181,16
182,21
183,14
184,29
185,24
186,20
187,13
188,12
189,16
190,20
191,23
192,15
193,24
194,17
195,29
196,25
197,15
198,15
199,16
200,23
201,1
202,2
203,28
204,16
205,22
206,22
207,15
208,17
209,9
210,11
211,20
212,20
213,22
214,28
215,25
216,0
217,13
218,9
219,28
220,2
221,22
222,12
223,21
224,8
225,23
226,24
227,15
228,23
229,9
230,22
231,16
232,24
233,10
234,24
235,23
236,24
237,15
238,29
239,20
240,28
241,15
242,11
243,20
244,20
245,21
246,19
247,0
248,4
249,24
250,28
251,21
252,24
253,24
254,18
255,24
256,12
257,18
258,23
259,10
260,24
261,2
